    0.333333E+00    0.270890E+02
    0.666667E+00    0.270888E+02
    0.100000E+01    0.270886E+02
    0.133333E+01    0.270884E+02
    0.166667E+01    0.270881E+02
    0.200000E+01    0.270877E+02
    0.233333E+01    0.270873E+02
    0.266667E+01    0.270867E+02
    0.300000E+01    0.270860E+02
    0.333333E+01    0.270851E+02
    0.366667E+01    0.270840E+02
    0.400000E+01    0.270826E+02
    0.433333E+01    0.270809E+02
    0.466667E+01    0.270788E+02
    0.500000E+01    0.270761E+02
    0.533333E+01    0.270729E+02
    0.566667E+01    0.270688E+02
    0.600000E+01    0.270638E+02
    0.633333E+01    0.270577E+02
    0.666667E+01    0.270502E+02
    0.700000E+01    0.270411E+02
    0.733333E+01    0.270301E+02
    0.766667E+01    0.270169E+02
    0.800000E+01    0.270012E+02
    0.833333E+01    0.269826E+02
    0.866667E+01    0.269610E+02
    0.900000E+01    0.269360E+02
    0.933333E+01    0.269076E+02
    0.966667E+01    0.268756E+02
    0.100000E+02    0.268402E+02
    0.103333E+02    0.268017E+02
    0.106667E+02    0.267603E+02
    0.110000E+02    0.267167E+02
    0.113333E+02    0.266713E+02
    0.116667E+02    0.266250E+02
    0.120000E+02    0.265784E+02
    0.123333E+02    0.265323E+02
    0.126667E+02    0.264874E+02
    0.130000E+02    0.264445E+02
    0.133333E+02    0.264041E+02
    0.136667E+02    0.263667E+02
    0.140000E+02    0.263325E+02
    0.143333E+02    0.263018E+02
    0.146667E+02    0.262746E+02
    0.150000E+02    0.262509E+02
    0.153333E+02    0.262304E+02
    0.156667E+02    0.262129E+02
    0.160000E+02    0.261981E+02
    0.163333E+02    0.261857E+02
    0.166667E+02    0.261754E+02
    0.170000E+02    0.261669E+02
    0.173333E+02    0.261600E+02
    0.176667E+02    0.261543E+02
    0.180000E+02    0.261496E+02
    0.183333E+02    0.261459E+02
    0.186667E+02    0.261428E+02
    0.190000E+02    0.261404E+02
    0.193333E+02    0.261384E+02
    0.196667E+02    0.261368E+02
    0.200000E+02    0.261356E+02
    0.203333E+02    0.261345E+02
    0.206667E+02    0.261337E+02
    0.210000E+02    0.261331E+02
    0.213333E+02    0.261325E+02
    0.216667E+02    0.261321E+02
    0.220000E+02    0.261318E+02
    0.223333E+02    0.261315E+02
    0.226667E+02    0.261313E+02
    0.230000E+02    0.261313E+02
    0.233333E+02    0.261313E+02
    0.236667E+02    0.261313E+02
    0.240000E+02    0.261313E+02
    0.243333E+02    0.261313E+02
    0.246667E+02    0.261313E+02
    0.250000E+02    0.261313E+02
    0.253333E+02    0.261313E+02
    0.256667E+02    0.261313E+02
    0.260000E+02    0.261313E+02
    0.263333E+02    0.261313E+02
    0.266667E+02    0.261313E+02
    0.270000E+02    0.261313E+02
    0.273333E+02    0.261313E+02
    0.276667E+02    0.261313E+02
    0.280000E+02    0.261313E+02
    0.283333E+02    0.261313E+02
    0.286667E+02    0.261313E+02
    0.290000E+02    0.261313E+02
    0.293333E+02    0.261313E+02
    0.296667E+02    0.261313E+02
    0.300000E+02    0.261313E+02
