  0.22167721E+00  0.21999002E+02  0.10000136E+00  0.99999022E+00
  0.44335443E+00  0.21766077E+02  0.10000499E+00  0.99997622E+00
  0.66503167E+00  0.21533236E+02  0.10001057E+00  0.99994916E+00
  0.88670886E+00  0.21300644E+02  0.10001743E+00  0.99992895E+00
  0.11083860E+01  0.21068085E+02  0.10002489E+00  0.99991590E+00
  0.13300633E+01  0.20835691E+02  0.10003229E+00  0.99990934E+00
  0.15517405E+01  0.20603493E+02  0.10003871E+00  0.99990910E+00
  0.17734177E+01  0.20371187E+02  0.10004399E+00  0.99991429E+00
  0.19950949E+01  0.20139103E+02  0.10004758E+00  0.99992454E+00
  0.22167721E+01  0.19906820E+02  0.10004924E+00  0.99993873E+00
  0.24384494E+01  0.19674395E+02  0.10004971E+00  0.99995613E+00
  0.26601267E+01  0.19442091E+02  0.10004912E+00  0.99997616E+00
  0.28818038E+01  0.19209568E+02  0.10004748E+00  0.99999785E+00
  0.31034811E+01  0.18977003E+02  0.10004573E+00  0.99998146E+00
  0.33251581E+01  0.18744589E+02  0.10004365E+00  0.99996459E+00
  0.35468354E+01  0.18511963E+02  0.10004175E+00  0.99995160E+00
  0.37685127E+01  0.18279408E+02  0.10004022E+00  0.99994135E+00
  0.39901898E+01  0.18046919E+02  0.10003886E+00  0.99993348E+00
  0.42118669E+01  0.17814270E+02  0.10003762E+00  0.99992794E+00
  0.44335442E+01  0.17581724E+02  0.10003696E+00  0.99992383E+00
  0.46552215E+01  0.17349245E+02  0.10003625E+00  0.99992120E+00
  0.48768988E+01  0.17116608E+02  0.10003573E+00  0.99991971E+00
  0.50985761E+01  0.16884136E+02  0.10003541E+00  0.99991906E+00
  0.53202534E+01  0.16651482E+02  0.10003532E+00  0.99991906E+00
  0.55419302E+01  0.16418995E+02  0.10003513E+00  0.99991971E+00
  0.57636075E+01  0.16186398E+02  0.10003533E+00  0.99992061E+00
  0.59852848E+01  0.15954098E+02  0.10003514E+00  0.99992198E+00
  0.62069621E+01  0.15721336E+02  0.10003508E+00  0.99992359E+00
  0.64286394E+01  0.15488865E+02  0.10003534E+00  0.99992526E+00
  0.66503162E+01  0.15256371E+02  0.10003536E+00  0.99992722E+00
  0.68719935E+01  0.15023784E+02  0.10003548E+00  0.99992913E+00
  0.70936708E+01  0.14791313E+02  0.10003575E+00  0.99993116E+00
  0.73153481E+01  0.14558714E+02  0.10003604E+00  0.99993324E+00
  0.75370255E+01  0.14326035E+02  0.10003669E+00  0.99993509E+00
  0.77587023E+01  0.14093854E+02  0.10003738E+00  0.99993747E+00
  0.79803796E+01  0.13860991E+02  0.10003778E+00  0.99993944E+00
  0.82020569E+01  0.13628688E+02  0.10003904E+00  0.99994159E+00
  0.84237337E+01  0.13395947E+02  0.10003991E+00  0.99994367E+00
  0.86454115E+01  0.13163380E+02  0.10004181E+00  0.99994558E+00
  0.88670883E+01  0.12930706E+02  0.10004385E+00  0.99994761E+00
  0.90887661E+01  0.12698163E+02  0.10004685E+00  0.99994957E+00
  0.93104429E+01  0.12465629E+02  0.10004992E+00  0.99995166E+00
  0.95321198E+01  0.12232787E+02  0.10005412E+00  0.99995339E+00
  0.97537975E+01  0.12000234E+02  0.10005933E+00  0.99995548E+00
  0.99754744E+01  0.11767626E+02  0.10006537E+00  0.99995744E+00
  0.10197152E+02  0.11534753E+02  0.10007280E+00  0.99995917E+00
  0.10418829E+02  0.11301876E+02  0.10008245E+00  0.99996084E+00
  0.10640507E+02  0.11069205E+02  0.10009387E+00  0.99996269E+00
  0.10862184E+02  0.10836061E+02  0.10010776E+00  0.99996400E+00
  0.11083860E+02  0.10602804E+02  0.10012606E+00  0.99996531E+00
  0.11305538E+02  0.10369569E+02  0.10014901E+00  0.99996650E+00
  0.11527215E+02  0.10135905E+02  0.10017821E+00  0.99996722E+00
  0.11748893E+02  0.99017792E+01  0.10021583E+00  0.99996740E+00
  0.11970570E+02  0.96675644E+01  0.10026398E+00  0.99996746E+00
  0.12192246E+02  0.94327145E+01  0.10032476E+00  0.99996686E+00
  0.12413924E+02  0.91973104E+01  0.10040223E+00  0.99996555E+00
  0.12635601E+02  0.89612026E+01  0.10049991E+00  0.99996346E+00
  0.12857279E+02  0.87241306E+01  0.10062360E+00  0.99996042E+00
  0.13078956E+02  0.84860706E+01  0.10077938E+00  0.99995661E+00
  0.13300632E+02  0.82461176E+01  0.10097589E+00  0.99995148E+00
  0.13522310E+02  0.80043259E+01  0.10122513E+00  0.99994516E+00
  0.13743987E+02  0.77605677E+01  0.10153902E+00  0.99993873E+00
  0.13965665E+02  0.75137005E+01  0.10193332E+00  0.99993247E+00
  0.14187342E+02  0.72633924E+01  0.10242805E+00  0.99992716E+00
  0.14409019E+02  0.70058546E+01  0.10304389E+00  0.99992287E+00
  0.14630696E+02  0.67170677E+01  0.10387634E+00  0.99957371E+00
  0.14852373E+02  0.64625478E+01  0.10491034E+00  0.99763960E+00
  0.15074051E+02  0.62236366E+01  0.10605637E+00  0.99260432E+00
