  0.22167721E+00 -0.20213270E-05 -0.36813137E-04 -0.86262035E-05 -0.25369995E-04
  0.44335443E+00 -0.52115674E-05 -0.94914947E-04 -0.22240856E-04 -0.65411208E-04
  0.66503167E+00 -0.94082807E-05 -0.17134701E-03 -0.40150724E-04 -0.11808482E-03
  0.88670886E+00 -0.14390591E-04 -0.26208663E-03 -0.61413200E-04 -0.18061858E-03
  0.11083860E+01 -0.19873991E-04 -0.36195229E-03 -0.84814128E-04 -0.24944160E-03
  0.13300633E+01 -0.25564910E-04 -0.46559738E-03 -0.10910066E-03 -0.32086924E-03
  0.15517405E+01 -0.31203628E-04 -0.56829175E-03 -0.13316443E-03 -0.39164166E-03
  0.17734177E+01 -0.36580779E-04 -0.66622236E-03 -0.15611193E-03 -0.45913114E-03
  0.19950949E+01 -0.41510095E-04 -0.75599685E-03 -0.17714825E-03 -0.52099978E-03
  0.22167721E+01 -0.45904566E-04 -0.83603052E-03 -0.19590206E-03 -0.57615543E-03
  0.24384494E+01 -0.49719132E-04 -0.90550282E-03 -0.21218108E-03 -0.62403269E-03
  0.26601267E+01 -0.53020020E-04 -0.96561975E-03 -0.22626793E-03 -0.66546263E-03
  0.28818038E+01 -0.55905817E-04 -0.10181769E-02 -0.23858335E-03 -0.70168276E-03
  0.31034811E+01 -0.58528567E-04 -0.10659434E-02 -0.24977617E-03 -0.73460129E-03
  0.33251581E+01 -0.61080624E-04 -0.11124224E-02 -0.26066732E-03 -0.76663255E-03
  0.35468354E+01 -0.63822634E-04 -0.11623609E-02 -0.27236910E-03 -0.80104795E-03
  0.37685127E+01 -0.66938504E-04 -0.12191082E-02 -0.28566638E-03 -0.84015576E-03
  0.39901898E+01 -0.70654474E-04 -0.12867848E-02 -0.30152465E-03 -0.88679546E-03
  0.42118669E+01 -0.75157317E-04 -0.13687923E-02 -0.32074095E-03 -0.94331137E-03
  0.44335442E+01 -0.80537953E-04 -0.14667864E-02 -0.34370332E-03 -0.10108446E-02
  0.46552215E+01 -0.86944929E-04 -0.15834725E-02 -0.37104569E-03 -0.10912595E-02
  0.48768988E+01 -0.94484123E-04 -0.17207790E-02 -0.40321992E-03 -0.11858852E-02
  0.50985761E+01 -0.10321468E-03 -0.18797830E-02 -0.44047835E-03 -0.12954636E-02
  0.53202534E+01 -0.11324145E-03 -0.20623943E-02 -0.48326858E-03 -0.14213114E-02
  0.55419302E+01 -0.12470112E-03 -0.22711020E-02 -0.53217378E-03 -0.15651435E-02
  0.57636075E+01 -0.13766790E-03 -0.25072575E-02 -0.58751076E-03 -0.17278915E-02
  0.59852848E+01 -0.15232299E-03 -0.27741613E-02 -0.65005274E-03 -0.19118299E-02
  0.62069621E+01 -0.16895846E-03 -0.30771326E-02 -0.72104618E-03 -0.21206243E-02
  0.64286394E+01 -0.18783577E-03 -0.34209329E-02 -0.80160686E-03 -0.23575565E-02
  0.66503162E+01 -0.20925896E-03 -0.38110998E-02 -0.89303235E-03 -0.26264421E-02
  0.68719935E+01 -0.23359900E-03 -0.42543896E-02 -0.99690573E-03 -0.29319380E-02
  0.70936708E+01 -0.26132254E-03 -0.47593005E-02 -0.11152186E-02 -0.32799004E-02
  0.73153481E+01 -0.29294938E-03 -0.53352998E-02 -0.12501891E-02 -0.36768538E-02
  0.75370255E+01 -0.32915923E-03 -0.59947670E-02 -0.14047180E-02 -0.41313297E-02
  0.77587023E+01 -0.37064770E-03 -0.67503699E-02 -0.15817740E-02 -0.46520578E-02
  0.79803796E+01 -0.41827327E-03 -0.76177442E-02 -0.17850206E-02 -0.52498137E-02
  0.82020569E+01 -0.47298305E-03 -0.86141387E-02 -0.20184999E-02 -0.59364852E-02
  0.84237337E+01 -0.53586927E-03 -0.97594447E-02 -0.22868726E-02 -0.67257797E-02
  0.86454115E+01 -0.60813548E-03 -0.11075583E-01 -0.25952756E-02 -0.76328046E-02
  0.88670883E+01 -0.69116702E-03 -0.12587784E-01 -0.29496204E-02 -0.86749466E-02
  0.90887661E+01 -0.78648201E-03 -0.14323695E-01 -0.33563862E-02 -0.98712603E-02
  0.93104429E+01 -0.89572609E-03 -0.16313286E-01 -0.38225956E-02 -0.11242400E-01
  0.95321198E+01 -0.10207017E-02 -0.18589389E-01 -0.43559410E-02 -0.12810988E-01
  0.97537975E+01 -0.11634340E-02 -0.21188881E-01 -0.49650646E-02 -0.14602444E-01
  0.99754744E+01 -0.13261489E-02 -0.24152303E-01 -0.56594652E-02 -0.16644703E-01
  0.10197152E+02 -0.15113386E-02 -0.27525045E-01 -0.64497800E-02 -0.18969050E-01
  0.10418829E+02 -0.17216875E-02 -0.31355996E-01 -0.73474636E-02 -0.21609172E-01
  0.10640507E+02 -0.19601882E-02 -0.35699654E-01 -0.83652874E-02 -0.24602631E-01
  0.10862184E+02 -0.22302261E-02 -0.40617682E-01 -0.95177004E-02 -0.27991919E-01
  0.11083860E+02 -0.25355127E-02 -0.46177674E-01 -0.10820540E-01 -0.31823620E-01
  0.11305538E+02 -0.28801898E-02 -0.52455056E-01 -0.12291482E-01 -0.36149718E-01
  0.11527215E+02 -0.32688987E-02 -0.59534363E-01 -0.13950334E-01 -0.41028462E-01
  0.11748893E+02 -0.37068445E-02 -0.67510389E-01 -0.15819309E-01 -0.46525192E-01
  0.11970570E+02 -0.41998718E-02 -0.76489583E-01 -0.17923350E-01 -0.52713253E-01
  0.12192246E+02 -0.47546271E-02 -0.86592987E-01 -0.20290820E-01 -0.59676077E-01
  0.12413924E+02 -0.53786533E-02 -0.97957976E-01 -0.22953911E-01 -0.67508325E-01
