  0.22167721E+00 -0.20213270E-05 -0.17037922E-05 -0.10687230E-05 -0.76859151E-05 -0.48210773E-05 -0.23841858E-06  0.41321691E-01  0.82640022E-01
  0.44335443E+00 -0.52115674E-05 -0.42338979E-05 -0.22785589E-05 -0.11413468E-04 -0.54576462E-05 -0.83446503E-06  0.41321460E-01  0.82640067E-01
  0.66503167E+00 -0.94082807E-05 -0.74950158E-05 -0.36684874E-05 -0.14711110E-04 -0.62700560E-05 -0.15497208E-05  0.41321129E-01  0.82640104E-01
  0.88670886E+00 -0.14390591E-04 -0.11356687E-04 -0.52888763E-05 -0.17420243E-04 -0.73096767E-05 -0.23841858E-05  0.41320734E-01  0.82640126E-01
  0.11083860E+01 -0.19873991E-04 -0.15653462E-04 -0.72124058E-05 -0.19383031E-04 -0.86771634E-05 -0.34570694E-05  0.41320316E-01  0.82640111E-01
  0.13300633E+01 -0.25564910E-04 -0.20201293E-04 -0.94740581E-05 -0.20515548E-04 -0.10202459E-04 -0.44107437E-05  0.41319914E-01  0.82640074E-01
  0.15517405E+01 -0.31203628E-04 -0.24843755E-04 -0.12124010E-04 -0.20942445E-04 -0.11954104E-04 -0.53644180E-05  0.41319564E-01  0.82640000E-01
  0.17734177E+01 -0.36580779E-04 -0.29447756E-04 -0.15181713E-04 -0.20768935E-04 -0.13793495E-04 -0.63180923E-05  0.41319292E-01  0.82639903E-01
  0.19950949E+01 -0.41510095E-04 -0.33896082E-04 -0.18668052E-04 -0.20066680E-04 -0.15727093E-04 -0.71525574E-05  0.41319121E-01  0.82639791E-01
  0.22167721E+01 -0.45904566E-04 -0.38128797E-04 -0.22577260E-04 -0.19094052E-04 -0.17634689E-04 -0.79870224E-05  0.41319065E-01  0.82639679E-01
  0.24384494E+01 -0.49719132E-04 -0.42108804E-04 -0.26888150E-04 -0.17954073E-04 -0.19446699E-04 -0.85830688E-05  0.41319124E-01  0.82639582E-01
  0.26601267E+01 -0.53020020E-04 -0.45873279E-04 -0.31579802E-04 -0.16981789E-04 -0.21164340E-04 -0.91791153E-05  0.41319288E-01  0.82639530E-01
  0.28818038E+01 -0.55905817E-04 -0.49480273E-04 -0.36629186E-04 -0.16271384E-04 -0.22778095E-04 -0.97751617E-05  0.41319542E-01  0.82639545E-01
  0.31034811E+01 -0.58528567E-04 -0.53017866E-04 -0.41996460E-04 -0.15958311E-04 -0.24212111E-04 -0.10251999E-04  0.41319866E-01  0.82639664E-01
